Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
38	22	0	0.587946202	101325	101325	101325	101325	8.73114914e-11	0	0	0	0	0	0	3
39	23	0	0.60341847	101325	101325	101325	101325	8.73114914e-11	0	0	0	0	0	0	3
40	23	0	0.618890739	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	0	3
41	24	0	0.634363007	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
42	24	0	0.649835275	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	0	3
43	25	0	0.665307544	101325	101325	101325	101325	1.45519152e-10	0	0	0	0	0	0	3
44	25	0	0.680779812	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	0	3
45	26	0	0.696252081	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	0	3
46	27	0	0.711724349	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
47	27	0	0.727196618	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
48	28	0	0.742668886	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
49	29	0	0.758141155	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
50	29	0	0.773613423	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
51	30	0	0.789085692	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
52	30	0	0.80455796	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
53	31	0	0.820030229	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
54	31	0	0.835502497	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
55	32	0	0.850974765	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
56	32	0	0.866447034	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
57	33	0	0.881919302	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
58	33	0	0.897391571	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
59	34	0	0.912863839	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
60	34	0	0.928336108	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
61	35	0	0.943808376	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
62	36	0	0.959280645	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
63	36	0	0.974752913	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
64	37	0	0.990225182	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	0	3
65	37	0	1.00569745	101325	101325	101325	101325	8.73114914e-11	0.00101325	0	100	0	0	0	3
