Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	32	0	0.850974765	293.2	293.2	293.2	293.2	1.25794486e-10	0	0	0	5.63375e-10	0	0	3
56	32	0	0.866447034	293.2	293.2	293.2	293.2	1.23463906e-10	0	0	0	5.6599e-10	0	0	3
57	33	0	0.881919302	293.2	293.2	293.2	293.2	1.23691279e-10	0	0	0	5.69798e-10	0	0	3
58	33	0	0.897391571	293.2	293.2	293.2	293.2	1.22099664e-10	0	0	0	5.7355e-10	0	0	3
59	34	0	0.912863839	293.2	293.2	293.2	293.2	1.20621735e-10	0	0	0	5.77245e-10	0	0	3
60	34	0	0.928336108	293.2	293.2	293.2	293.2	1.20962795e-10	0	0	0	5.80883e-10	0	0	3
61	35	0	0.943808376	293.2	293.2	293.2	293.2	1.1954171e-10	0	0	0	5.82816e-10	0	0	3
62	36	0	0.959280645	293.2	293.2	293.2	293.2	1.17154286e-10	0	0	0	5.8634e-10	0	0	3
63	36	0	0.974752913	293.2	293.2	293.2	293.2	1.18404841e-10	0	0	0	5.89807e-10	0	0	3
64	37	0	0.990225182	293.2	293.2	293.2	293.2	1.15960574e-10	0	0	0	5.93218e-10	0	0	3
65	37	0	1.00569745	293.2	293.2	293.2	293.2	1.15733201e-10	2.932e-06	0	100	5.96572e-10	0	0	3
